timestamp	cu-v1-whisper-deploy-cpu-amd64	cu-v1-whisper-deploy-cpu-arm64	cu-v1-whisper-deploy-cpu-other	cu-v1-whisper-deploy-cuda-amd64	cu-v1-whisper-deploy-cuda-arm64	cu-v1-whisper-deploy-cuda-other	cu-v1-whisper-upgrade-cpu-amd64	cu-v1-whisper-upgrade-cpu-arm64	cu-v1-whisper-upgrade-cpu-other	cu-v1-whisper-upgrade-cuda-amd64	cu-v1-whisper-upgrade-cuda-arm64	cu-v1-whisper-upgrade-cuda-other	cu-v1-kokoro-deploy-cpu-amd64	cu-v1-kokoro-deploy-cpu-arm64	cu-v1-kokoro-deploy-cpu-other	cu-v1-kokoro-deploy-cuda-amd64	cu-v1-kokoro-deploy-cuda-arm64	cu-v1-kokoro-deploy-cuda-other	cu-v1-kokoro-upgrade-cpu-amd64	cu-v1-kokoro-upgrade-cpu-arm64	cu-v1-kokoro-upgrade-cpu-other	cu-v1-kokoro-upgrade-cuda-amd64	cu-v1-kokoro-upgrade-cuda-arm64	cu-v1-kokoro-upgrade-cuda-other	cu-v1-docling-deploy-cpu-amd64	cu-v1-docling-deploy-cpu-arm64	cu-v1-docling-deploy-cpu-other	cu-v1-docling-deploy-cuda-amd64	cu-v1-docling-deploy-cuda-arm64	cu-v1-docling-deploy-cuda-other	cu-v1-docling-upgrade-cpu-amd64	cu-v1-docling-upgrade-cpu-arm64	cu-v1-docling-upgrade-cpu-other	cu-v1-docling-upgrade-cuda-amd64	cu-v1-docling-upgrade-cuda-arm64	cu-v1-docling-upgrade-cuda-other	cu-v1-mcp-deploy-cpu-amd64	cu-v1-mcp-deploy-cpu-arm64	cu-v1-mcp-deploy-cpu-other	cu-v1-mcp-upgrade-cpu-amd64	cu-v1-mcp-upgrade-cpu-arm64	cu-v1-mcp-upgrade-cpu-other	cu-v1-embeddings-deploy-cpu-amd64	cu-v1-embeddings-deploy-cpu-arm64	cu-v1-embeddings-deploy-cpu-other	cu-v1-embeddings-upgrade-cpu-amd64	cu-v1-embeddings-upgrade-cpu-arm64	cu-v1-embeddings-upgrade-cpu-other	cu-v1-litellm-deploy-cpu-amd64	cu-v1-litellm-deploy-cpu-arm64	cu-v1-litellm-deploy-cpu-other	cu-v1-litellm-upgrade-cpu-amd64	cu-v1-litellm-upgrade-cpu-arm64	cu-v1-litellm-upgrade-cpu-other	cu-v1-ollama-deploy-cpu-amd64	cu-v1-ollama-deploy-cpu-arm64	cu-v1-ollama-deploy-cpu-other	cu-v1-ollama-deploy-cuda-amd64	cu-v1-ollama-deploy-cuda-arm64	cu-v1-ollama-deploy-cuda-other	cu-v1-ollama-upgrade-cpu-amd64	cu-v1-ollama-upgrade-cpu-arm64	cu-v1-ollama-upgrade-cpu-other	cu-v1-ollama-upgrade-cuda-amd64	cu-v1-ollama-upgrade-cuda-arm64	cu-v1-ollama-upgrade-cuda-other	cu-v1-whisperlive-deploy-cpu-amd64	cu-v1-whisperlive-deploy-cpu-arm64	cu-v1-whisperlive-deploy-cpu-other	cu-v1-whisperlive-deploy-cuda-amd64	cu-v1-whisperlive-deploy-cuda-arm64	cu-v1-whisperlive-deploy-cuda-other	cu-v1-whisperlive-upgrade-cpu-amd64	cu-v1-whisperlive-upgrade-cpu-arm64	cu-v1-whisperlive-upgrade-cpu-other	cu-v1-whisperlive-upgrade-cuda-amd64	cu-v1-whisperlive-upgrade-cuda-arm64	cu-v1-whisperlive-upgrade-cuda-other
2026-07-09T07:44:45Z	5	0	0	0	0	0	1	0	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-07-09T11:18:41Z	14	0	0	3	0	0	6	0	0	5	0	0	7	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	5	1	0	1	0	0	13	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	5	0	0	1	0	0	2	0	0	1	0	0
2026-07-09T15:14:30Z	17	0	0	10	0	0	10	1	0	6	0	0	8	0	0	2	0	0	4	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	5	0	5	1	0	1	0	0	13	1	0	2	0	0	7	0	0	0	0	0	1	0	0	0	0	0	8	0	0	1	0	0	2	0	0	2	0	0
2026-07-09T16:29:39Z	19	0	0	11	0	0	13	1	0	6	0	0	8	0	0	2	0	0	4	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	5	0	5	1	0	1	0	0	13	1	0	2	0	0	7	0	0	0	0	0	1	0	0	0	0	0	8	0	0	2	0	0	3	0	0	3	0	0
2026-07-09T16:40:36Z	20	0	0	11	0	0	13	1	0	6	0	0	9	0	0	2	0	0	4	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	5	0	5	1	0	1	0	0	14	1	0	2	0	0	8	0	0	0	0	0	1	0	0	0	0	0	8	0	0	2	0	0	3	0	0	3	0	0
2026-07-09T21:43:48Z	43	2	0	15	0	0	20	2	0	8	0	0	12	0	0	2	0	0	5	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	5	0	6	1	0	2	0	0	15	1	0	4	0	0	8	0	0	0	0	0	2	0	0	0	0	0	11	0	0	2	0	0	4	0	0	3	0	0
2026-07-10T03:18:42Z	58	3	0	23	0	0	31	3	0	15	0	0	14	0	0	2	0	0	6	0	0	0	0	0	15	0	0	0	0	0	2	0	0	0	0	0	4	0	0	2	5	0	6	1	0	2	0	0	16	1	0	5	0	0	8	0	0	0	0	0	2	0	0	0	0	0	11	0	0	3	0	0	4	0	0	3	0	0
2026-07-10T06:15:05Z	64	4	0	26	0	0	38	3	0	17	0	0	15	0	0	3	0	0	7	0	0	0	0	0	15	1	0	0	0	0	2	0	0	0	0	0	4	0	0	2	5	0	6	1	0	2	0	0	16	1	0	6	0	0	8	0	0	0	0	0	2	0	0	0	0	0	11	0	0	4	0	0	4	0	0	3	0	0
2026-07-10T11:19:02Z	72	5	0	28	0	0	42	4	0	27	0	0	16	0	0	3	0	0	8	0	0	0	0	0	19	1	0	0	0	0	2	0	0	0	0	0	4	0	0	2	5	0	6	1	0	2	0	0	20	1	0	6	1	0	8	0	0	0	0	0	2	0	0	0	0	0	12	0	0	4	0	0	5	0	0	5	0	0
2026-07-10T16:33:55Z	80	7	0	32	0	0	50	4	0	28	0	0	16	0	0	3	0	0	9	0	0	0	0	0	23	1	0	1	0	0	2	0	0	0	0	0	4	0	0	3	5	0	6	1	0	2	0	0	20	1	0	6	1	0	8	0	0	0	0	0	2	0	0	0	0	0	15	0	0	9	0	0	5	0	0	5	0	0
2026-07-10T21:20:00Z	91	7	0	34	0	0	56	5	0	32	0	0	29	0	0	3	0	0	10	0	0	0	0	0	25	1	0	1	0	0	2	0	0	0	0	0	6	0	0	3	5	0	8	1	0	2	0	0	21	1	0	6	1	0	10	0	0	0	0	0	2	0	0	1	0	0	22	0	0	9	0	0	5	0	0	5	0	0
